Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
1,6.9,3.8,8.7,2.8,1.8,2.99,Medium
2,5.3,3.5,8,4.2,3,2.75,Low
3,5.1,3.9,9.2,1.2,4.6,2.67,Low
4,6.5,2.1,7.2,1.7,6.5,2.88,Medium
5,8.1,0.6,6.5,2.2,6.6,3.51,High
6,6,2.1,8,0.3,7.6,2.85,Medium
7,8,0.7,5.3,5.7,4.3,3.08,High
8,8.4,1.8,5.6,3,5.2,3.2,High
9,5.2,3.6,6.3,4,4.9,2.82,Low
10,7.7,0.7,9.8,4.5,1.3,2.76,Medium
11,9.7,3.6,8,2.5,0.2,3.43,High
12,6.9,1.1,9.1,2.1,4.8,2.97,Medium
13,6.4,2.2,5.7,4.8,4.9,2.82,High
14,5,3.3,8.5,4.4,2.8,2.87,Low
15,8.9,0.3,6.8,0.7,7.3,3.4,High
16,6.7,0.3,6.6,2,8.4,3.2,Medium
17,8.6,2.6,9.4,1.6,1.8,3.36,High
18,8.8,2.2,8.9,2,2.1,3.19,High
19,7.6,1.7,5.1,0.6,9,3.16,High
20,6.6,2,9.5,1.5,4.4,2.93,Medium
21,7.1,3,6.1,Medium,7.3,2.9,Medium
22,9.6,3.2,8.2,2.6,0.4,3.34,High
23,9,0.7,9.5,2.6,2.2,3.21,High
24,6.1,1.7,9.1,5.2,1.9,2.85,Medium
25,5,2,7.1,1.3,8.6,2.68,Low
26,9.7,1.3,7.6,3.8,1.6,3.29,High
27,6.8,3.9,9.8,0.9,2.6,2.64,Medium
28,6.4,0.1,8,3,6.5,2.95,Medium
29,5.3,1.1,9.5,1.4,6.7,2.79,Low
30,9.9,1,8.4,3.6,1.1,3.25,High
31,6.2,2.9,6.8,3.8,4.3,3.05,Medium
32,5.5,3.3,6.6,1.1,7.5,3.26,Low
33,5.2,2.4,8.4,0.1,7.9,2.47,Low
34,8.2,0.7,8.5,2.3,4.3,3.24,High
35,9.7,0.6,6.7,0.7,6.3,3.62,High
36,9.1,2.2,7.6,1.2,3.9,3.12,High
37,5.5,3.6,9.5,3.4,2,2.58,Low
38,8.6,3.6,9.4,1.9,Medium,3.03,High
39,8.2,0.3,5.8,5.4,4.3,3.29,High
40,5,0.6,7.7,4.2,6.5,2.61,Low
41,8.3,0.9,8.6,1.4,4.8,3.48,High
42,8.2,3.4,8.3,2.3,1.8,3.07,High
43,5.5,1.5,6.3,1.5,9.2,2.81,Low
44,9.5,2.5,9,1.5,1.5,3.49,High
45,7.9,2,6,4.3,3.8,2.97,Medium
46,9.7,3.8,9.6,0.3,0.6,3.55,High
47,5.1,3.7,7.1,5.8,2.3,2.6,Low
